Fecha,Hidraulica,Turbinacion bombeo,Nuclear,Carbon,Motores diesel,Turbina de gas,Turbina de vapor,Ciclo combinado,Eolica,Solar fotovoltaica,Solar termica,Otras renovables,Cogeneracion,Residuos no renovables,Residuos renovables,Generacion total
23/08/2015,33.837389,10.227841,160.07444800000002,56.262547,9.58662,2.6967820000000002,5.483081,43.366137,226.61435500000002,27.304198,18.379627,10.085537,54.931737,6.853951,2.332179,668.0364290000001
24/08/2015,42.000071000000005,9.028507,160.1676,126.256379,10.150073,3.336143,6.799786,69.822521,189.272913,27.541460999999998,15.978962,10.215643,64.63158299999999,7.0461075,2.3375865,744.585336
25/08/2015,49.386314,5.084408000000001,161.167812,189.449139,10.266751000000001,3.142629,7.020688,93.789545,80.543028,30.854568,26.296333999999998,10.470628000000001,70.236814,7.3790155,2.3400695000000002,747.4277430000001
26/08/2015,43.442153,4.172295,160.99898800000003,172.637336,9.848514,3.808877,7.052091000000001,69.090447,155.74093100000002,29.063223999999998,27.288493,10.576595,68.20625100000001,7.4057805,2.4541915,771.786167
27/08/2015,44.184129,11.470673000000001,160.743804,177.098733,10.057954,3.876484,7.222681,74.131851,156.67375099999998,28.766198,24.209887,10.24601,66.90213899999999,7.2687565,2.2531895,785.10624
28/08/2015,59.410025000000005,12.991779000000001,160.635108,199.487251,10.262584,3.671955,7.560264,93.73545200000001,83.963914,29.303463999999998,25.699776999999997,10.25916,69.385362,6.702043,1.625915,774.6940529999999
29/08/2015,39.89533,2.479122,161.25268,163.558954,10.347635,2.9073420000000003,7.235614,70.09803500000001,135.300776,26.970812000000002,17.165775,9.466550999999999,64.69781,6.6446635,1.5987725,719.6198720000001
30/08/2015,41.14845,3.827921,161.801313,154.929831,10.007670000000001,2.7415369999999997,6.20155,56.220798,141.974255,24.107976999999998,9.776049,9.356351,61.883288,6.6969625,1.6893624999999999,692.3633150000001
31/08/2015,69.501819,9.536927,163.24628,200.85521,10.263512,3.741211,8.041068000000001,135.938508,89.41859,19.220987,5.379823999999999,9.354832,67.979152,7.0717975,2.1947765,801.744494
01/09/2015,63.242717,2.355251,164.35882800000002,205.26163200000002,10.436294,3.229758,8.094331,100.632945,105.477216,24.836081,15.950141,9.259018,68.68318099999999,7.550761499999999,2.5901535,791.9583080000001
02/09/2015,56.832558,2.226731,164.40886300000003,204.660046,10.312982,3.1263330000000003,7.566123999999999,87.54190399999999,103.758437,24.908326000000002,18.102667,9.691130999999999,71.98255,7.079058,2.623826,774.8215359999999
03/09/2015,53.985876,0.7748780000000001,165.121439,187.322625,10.274432000000001,2.96367,7.552295,75.21438099999999,138.018857,24.52911,15.425677,9.152575,73.977358,6.9189264999999995,2.6156565,773.8477559999998
04/09/2015,51.688609,2.590107,165.401497,175.371668,10.214151,2.904285,7.5040320000000005,74.088999,128.496538,21.896427,13.439736,9.515058999999999,74.917497,7.3796755,2.6395684999999998,748.047849
05/09/2015,52.422503,3.494451,165.754373,156.551242,9.948825999999999,2.3154879999999998,6.605272,57.121871,115.330275,20.031924,4.237081,9.636297,70.111641,7.4131920000000004,2.564482,683.538918
06/09/2015,41.434180999999995,1.196894,165.642685,149.94688699999998,9.696156,1.92676,6.247659,62.593347,86.008707,21.335818,11.709887,9.519112999999999,65.92925100000001,7.768513,2.5287689999999996,643.4846269999999
